,file_name,gpt extracted respondents,ner extracted respondents,true_positives,false_positives,false_negatives
15,B_Ramesh_vs_State_Of_Odisha_Opposite_Party_on_4_February_2022.PDF,['state of odisha'],['state of odisha'],1.0,0.0,0.0
16,Chintalagunta_Gopi_vs_The_State_Of_Andhra_Pradesh_on_7_January_2022.PDF,['the state of andhra pradesh'],[],0.0,1.0,0.0
17,Code_Of_Criminal_Procedure_vs_Unknown_on_4_January_2022.PDF,['unknown'],[],0.0,1.0,0.0
18,CRLP_1377_2022_on_9_March_2022.PDF,[],[],0.0,0.0,0.0
19,CRLP_1440_2020_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
20,CRLP_1598_2022_on_9_March_2022.PDF,['state'],[],0.0,1.0,0.0
21,CRLP_1669_2022_on_10_March_2022.PDF,[],[],0.0,0.0,0.0
22,CRLP_1671_2022_on_10_March_2022.PDF,['state'],[],0.0,1.0,0.0
23,CRLP_1717_2022_on_10_March_2022.PDF,[],[],0.0,0.0,0.0
24,CRLP_1720_2022_on_10_March_2022.PDF,['state'],[],0.0,1.0,0.0
25,CRLP_1759_2022_on_11_March_2022.PDF,[],[],0.0,0.0,0.0
26,CRLP_1760_2022_on_11_March_2022.PDF,[],[],0.0,0.0,0.0
27,CRLP_282_2022_on_27_January_2022.PDF,[],[],0.0,0.0,0.0
28,CRLP_3708_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
29,CRLP_3866_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
30,CRLP_4494_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
31,CRLP_4698_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
32,CRLP_4749_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
33,CRLP_490_2022_on_8_February_2022.PDF,[],[],0.0,0.0,0.0
34,CRLP_5156_2019_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
35,CRLP_5163_2019_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
36,CRLP_5641_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
37,CRLP_6833_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
38,CRLP_6838_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
39,CRLP_6843_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
40,CRLP_6849_2021_on_6_January_2022.PDF,[],[],0.0,0.0,0.0
41,CRLP_808_2022_on_16_February_2022.PDF,[],[],0.0,0.0,0.0
42,CRLP_848_2022_on_16_February_2022.PDF,[],[],0.0,0.0,0.0
43,CRLP_852_2022_on_16_February_2022.PDF,[],[],0.0,0.0,0.0
44,Cr_Cases_7164_2019_on_3_February_2022.PDF,"['m/s aggarwal sweets & restaurants (kanhiya lal gulkandi ram)', 'tulsi ram aggarwal']","['shyam singh building', 'tulsi ram aggarwal']",1.0,1.0,1.0
45,Dabur_India_Ltd_vs_Shiv_G_Shetti_Ors_on_23_March_2022.PDF,"['facebook inc.', 'google llc', 'shiv g shetti', 'twitter inc.']",['shiv g'],0.0,4.0,1.0
46,Deepa_Naresh_Bhavnani_vs_State_Of_Maharashtra_on_24_January_2022.PDF,['the state of maharashtra'],"['deshmane', 'state of maharashtra']",0.0,1.0,2.0
47,Delhi_Golf_Club_Employees_Union_vs_Union_Of_India_on_24_February_2022.PDF,"['delhi golf club', 'union of india']",['union of india'],1.0,1.0,0.0
48,Dharampal_Satyapal_Ltd_vs_The_State_Of_Maharashtra_And_3_Ors_on_30_March_2022.PDF,"['sanjay t salunkhe', 'the commissioner of police kamrup (m)', 'the officer in charge chandmari police station', 'the state of maharashtra']","['commissioner of police\n          kamrup', 'officer in charge\n          chandmari police staton police\n          kamrup (m) at guwahati', 'sanjay t salunkhe', 'state of maharashtra']",1.0,3.0,3.0
49,Dharmendra_Ghanshayamdas_Hasani_vs_The_State_Of_Maharashtra_on_9_March_2022.PDF,['the state of maharashtra'],"['state of\nmaharashtra', 'state of maharashtra']",0.0,1.0,2.0
50,Dilip_Kumar_Yadav_vs_The_State_Of_Bihar_on_3_February_2022.PDF,['the state of bihar'],['state of bihar'],0.0,1.0,1.0
51,Dilip_Saha_vs_The_State_Of_Assam_on_10_March_2022.PDF,['the state of assam'],['state of assam'],0.0,1.0,1.0
52,Dillip_Kumar_Das_Anr_vs_State_Of_Odisha_Opposite_Party_on_21_February_2022.PDF,['state of odisha'],['state of odisha'],1.0,0.0,0.0
