pdf_file,provisions,statutes,precedents
Chaudhary_Ompal_vs_State_Of_Haryana_on_30_June_2021.PDF,"['Article 243-W of Constitution', 'Article 243-X of Constitution', 'Article 243-Y of Constitution', 'Section 25 of NGT Act, 2010', 'Section 51 of CPC', 'Section 26 of NGT Act, 2010', 'Section 28 of NGT Act, 2010', 'Section 30 of NGT Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 25 of NGT Act', 'Section 51(d) of CPC', 'Rule 22 of Solid Waste Management Rules, 2016', 'Section 26 Section 28 of CPC', 'Section 20 of SWM Rules', 'Item 6 of Schedule XII of National Green Tribunal Act, 2010']","['CRZ Notification 2011', 'National Green Tribunal Act, 2010', 'CRZ Notification, 2011 Rapid EIA Report', 'NGT Act', 'SWM Rules', 'CPC', 'Criminal Procedure Code']","[A Chaudhary Ompal vs State Of Haryana on 30 June, 2021 Indian Kanoon, Manoj Mishra v. UOI & Ors, Central Chaudhary Ompal vs State Of Haryana, Sukhwanti v. State of Haryana & Ors, T. S. Singh v. State of Uttar Pradesh]"
Compliance_Of_Municipal_Solid_Waste_vs_on_30_November_2021.PDF,"['Article 144 of Constitution', 'Rule 14 of CPCB', 'sec 5 of EPA, 1986', 'Section 25 of NGT Act, 2010', 'Section 51 of CPC', 'Section 26 of NGT Act, 2010', 'Section 28 of NGT Act, 2010', 'Section 30 of NGT Act, 2010', 'Rule 22 of Solid Waste Management Rules, 2016', 'Rule 5 of Solid Waste Management Rules, 2016', 'Rule 6 of Solid Waste Management Rules, 2016', 'Rule 7 of Solid Waste Management Rules, 2016', 'Rule 8 of Solid Waste Management Rules, 2016', 'Rule 9 of Solid Waste Management Rules, 2016', 'Rule 10 of Solid Waste Management Rules, 2016', 'Rule 11 of Solid Waste Management Rules, 2016', 'Rule 12 of Solid Waste Management Rules, 2016', 'Rule 13 of Solid Waste Management Rules, 2016', 'rule 15 of CPCB', 'Rule 16 of CPCB', 'Rule 17 of CPCB', 'Rule 24 of CPCB', 'Section 26 Section 28 of NGT Act, 2010']","['Code of Civil Procedure', 'Code of 1908']","[Almitra H. Patel vs. Union of India & Ors, Andhra Pradesh Compliance Of Municipal Solid Waste, M.C.Mehta v. Union of India & Ors.4 36, M.C. Mehta V. Union of India & Ors, Aryavart Foundation v. M/s Vapi Green Enviro Ltd. & Ors, Compliance Of Municipal Solid Waste ... vs ., Aryavart Foundation v. M/s Vapi Enviro Ltd. & Ors]"
Compliance_Of_Municipal_Solid_Waste_vs_on_31_March_2023.PDF,"['Articles 243 of Constitution', 'Article 21 of Constitution', 'SCC 538 of Municipal Solid Waste Management Rules, 2000', 'Rule 22 of SWM Rules', 'Rule 24 of SWM Rules', 'section 15 of EP Act', 'Schedule-I of SWM Rules, 2016', 'Schedule I of MSW Rules, 2016', 'Rule 14 of CPCB', 'rules (1) (2) (3) 1 of SWM Rules', '11th 11th of Tariff Policy 2016', '11th 12th Schedule of Tariff Policy 2016', 'Rule 5 of Solid Waste Management Rules, 2016', 'Rule 6 of Solid Waste Management Rules, 2016', 'Rule 7 of Solid Waste Management Rules, 2016', 'Rule 8 of Solid Waste Management Rules, 2016', 'Rule 9 of Solid Waste Management Rules, 2016', 'Rule 10 of Solid Waste Management Rules, 2016', 'Rule 11 of Solid Waste Management Rules, 2016', 'Rule 12 of Solid Waste Management Rules, 2016', 'Rule 13 of Solid Waste Management Rules, 2016', 'rule 15 of CPCB', 'Rule 16 of CPCB', 'Rule 17 of CPCB', 'Rule 24 of CPCB']","['Constitution', 'Code of Civil Procedure', 'CPCB']",[Almitra H. Patel Vs. Union of India & Ors]
Dr_Joe_Dsouza_vs_State_Of_Goa_on_30_September_2022.PDF,"['Section 16 of National Green Tribunal Act, 2010', 'Section 44 of Town & Country Planning Act', 'Section 5 of Indians Ports Act', 'Regulation 3 of CRZ Notification, 2011', 'Regulation 4 of CRZ Notification, 2011', 'Regulation 4.2 of CRZ Notification, 2011', 'Section 44 of Town and Country Planning Act', 'Section 20 of Goa Town and Country Planning Act', 'Regulation 4(i)(d) of CRZ Notification, 2011', 'Regulation 4.2(i)(b) of CRZ Notification, 2011', 'Regulation 8 (I) CRZ-I of CRZ Notification, 2011', 'Regulation 3 (iv) of CRZ Notification, 2011', 'Section 3(3) (i) of CRZ Notification, 1991', 'Regulation 4.2 of CRZ Notification 2011', 'provision 4(d) of CRZ Notification 2011', 'Provision 4(d) of CRZ Notification 2011', 'Regulation 4 (i) (d) of CRZ Notification, 2011', 'Regulation 4.2 (i) (b) of CRZ Notification, 2011 Rapid EIA Report', 'Regulation 4 (i)(d) read with 4.2 (i)(b) of CRZ Notification, 2011', 'Regulation 4(i)(d) read with Regulation 4.2(i)(b) of CRZ Notification, 2011', 'Regulation 4.2(i)(c) of CRZ Notification, 2011', 'Section 3(ii) of CRZ Notification, 1991', 'Regulation 4(d) of CRZ Notification, 2011', 'P.T.S. No. 7 of CRZ Notification, 1991', 'Reg. 4.2 of CRZ Notification 2011']",['Constitution'],"[Dr Joe Dsouza vs State Of Goa on 30 September, 2022 Indian Kanoon, CRZ-II"" Dr Joe Dsouza vs State Of Goa]"
Dr_Lokesh_Kumar_vs_State_Of_Haryana_Ors_on_22_December_2023.PDF,"['Section 24 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 26 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 48 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 44 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 43 of Water (Prevention and Control of Pollution) Act, 1974']",['Constitution'],"[Dr Lokesh Kumar vs State Of Haryana & Ors, Dr. Lokesh Kumar Versus State of Haryana, 463/2023 Dr. Lokesh Kumar Vs., Manoj Mishra v/s UOI & Ors]"
Dr_P_S_Vetriselvam_vs_The_Government_Of_Tamil_Nadu_on_29_January_2021.PDF,"['Article 226 of Constitution', 'Article 48A of Constitution', 'Article 48-A of Constitution', 'Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'section 28 of Water (Prevention and Control of Pollution) Act, 1974 (6 of 1974', 'section 33A of Water (Prevention and Control of Pollution) Act, 1974 (6 of 1974)', 'Section 7 of Indian Easement Act', 'Section 20 of National Green Tribunal Act', 'Section 16 of National Green Tribunal Act, 2010', 'Section 17 of National Green Tribunal Act, 2010', 'Schedule II of Public Liability Insurance Act, 1991 (6 of 1991)', 'Schedule I of Biological Diversity Act, 2002 (18 of 2003)', 'section 14 of National Green Tribunal Act, 2010', 'Section 14(3) of National Green Tribunal Act, 2010', 'Section 17 of Biological Diversity Act, 2002 (18 of 2003)', 'section 14(1) of Biological Diversity Act, 2002 (18 of 2003)', 'section 15(1) of Biological Diversity Act, 2002 (18 of 2003)', 'section 17(1)(a) of Biological Diversity Act, 2002 (18 of 2003)', 'section 17(2) of Biological Diversity Act, 2002 (18 of 2003)', 'section 19(4) (j) of Biological Diversity Act, 2002 (18 of 2003)', 'section 34(1) of Biological Diversity Act, 2002 (18 of 2003)', 'section 15(4) of Biological Diversity Act, 2002 (18 of 2003)', 'section 17(1) of Biological Diversity Act, 2002 (18 of 2003)', 'Sections 15(1)(b) and (c) of National Green Tribunal Act, 2010', 'Schedule I. (2) of National Green Tribunal Act, 2010', 'Schedule-I. of Biological Diversity Act, 2002 (18 of 2003)', 'Section 16 of Biological Diversity Act, 2002 (18 of 2003)', 'Schedule I. 70.Schedule I of Biological Diversity Act, 2002 (18 of 2003)', 'SCHEDULE I of Biological Diversity Act, 2002 (18 of 2003)']",['Constitution'],"[DIRECTOR GENERAL (ROAD DEVELOPMENT),NATIONAL HIGHAYS AUTHORITY OF INDIA, Salem Dt Dr. P.S. Vetriselvam vs The Government Of Tamil Nadu, Dr. P.S. Vetriselvam vs The Government Of Tamil Nadu on 29 January, 2021 Indian Kanoon, first Dr. P.S. Vetriselvam vs The Government Of Tamil Nadu, Belur Dr. P.S. Vetriselvam vs The Government Of Tamil Nadu, S.N. RANADE VS. UNION OF INDIA & ANR (1964) 2]"
Dr_Subhash_C_Pandey_vs_Bhopal_Municipal_Corporation_on_31_July_2023.PDF,"['Section 18 of National Green Tribunal Act, 2010', 'Section 14 of NGT Act, 2010', 'Section 15 of NGT Act, 2010', 'Section 17 of NGT Act, 2010', 'section 5 of Environment (protection) Act, 1986', 'Rule 14 of Manufacture, Storage and Import of Hazardous Chemical Rules, 1989', 'Schedule I of MSW Rules, 2016']","['Constitution', 'Manufacture, Storage and Import of Hazardous Chemical Rules, 1989', 'MSW Rules, 2016']",[Dr. Subhash C. Pandey vs Bhopal Municipal Corporation]
D_Chandramouleswara_Reddy_vs_Union_Of_India_on_29_October_2021.PDF,"['Article 32 of Constitution', 'Article 21 of Constitution', 'Article 262 of Constitution', 'Section 4 of Inter-State River Water Dispute Act, 1956', 'Section 6 of Inter-State River Water Dispute Act, 1956', 'Section 84(3)(ii) of Act 6 of 2014', 'Section 85(8)(d) of Act 6 of 2014', 'Section 3 of Environment (Protection) Act, 1986', 'Section 84 of Andhra Pradesh Reorganisation Act, 2014', 'Section 2 of Forest (Conservation) Act, 1980', 'Section 14 of National Green Tribunal Act, 2010', 'phase-I. of PR LIS', 'Entry 1(c) of the Schedule of EIA', 'section 14 of National Green Tribunal Act, 2010', 'section 15 of National Green Tribunal Act, 2010', 'item 1(c) of Schedule of EIA Notification, 2006 71.The', 'Section 15 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act', 'Section 18 of National Green Tribunal Act, 2010', 'Section 14 of National Green Tribunal Act', 'section 19 of Code of Civil Procedure, 1908', 'Section 19(4) of Code of Civil Procedure', 'Rule 14 of National Green Tribunal (Practise and Procedure) Rules, 2011', 'Articles 58 of Limitation Act, 1963', 'Section 14 (2) of NGT Act, 2010', 'Section 19(4) of National Green Tribunal Act, 2010', '1 (c) Schedule of EIA Notification, 2006', 'Schedule 1 of National Green tribunal Act, 2010', 'Section 5(2) of Inter-State River Water Dispute Act, 1956', 'Section 5(3) of Inter-State River Water Dispute Act, 1956', 'Section 85(8)(d) read with 11th Schedule of Act 6 of 2014', '11th Schedule of Act 6 of 2014', 'Section 84(3)(ii) of Andhra Pradesh Reorganisation Act, 2014', 'Section 14(3) of National Green Tribunal Act, 2010', 'Section 19(2) of Code of Civil Procedure', 'Section 15(3) of National Green Tribunal Act', 'sub-section (3) of Section 14 of National Green Tribunal Act, 2010', 'sub-clause (3) of Section 14 of National Green Tribunal Act, 2010', 'KWDT-I of Inter-State River Water Dispute Act, 1956', 'Section 85(8)(d) of Act 6 of 2014 of Act 6 of 2014', 'Section 84(3)(ii) of Water (Prevention and Control of Pollution) Act, 1974 and Air (Prevention and Control of Pollution) Act, 1981', 'Section 85(8)(d) of Water (Prevention and Control of Pollution) Act, 1974 and Air (Prevention and Control of Pollution) Act, 1981', 'Section 10 of Eleventh Schedule of Water (Prevention and Control of Pollution) Act, 1974 and Air (Prevention and Control of Pollution) Act, 1981', 'entry 1(c) of EIA Notification, 2006', 'KWDT-II of EIA Notification, 2006', 'Schedule I. (2) of National Green Tribunal Act, 2010', 'Schedule II of Public Liability Insurance Act, 1991 (6 of 1991)', 'Section 20 of Code of Civil Procedure', 'Section 29 of Code of Civil Procedure', 'Section 33 of Code of Civil Procedure', 'Section 16 of NGT Act, 2010']","['Code of Civil Procedure, 1908', 'National Green Tribunal  Rules, 2011', 'Delhi Fire Service Rule 2010', 'Criminal Procedure Code', 'Forest  Act, 1980', 'National Green tribunal Act, 2010', 'EC', 'EIA', 'Development Control Rules', 'EIA Notification, 2006 71.The']","[D Chandramouleswara Reddy vs Union Of India on 29 October, 2021 Indian Kanoon - http://indiankanoon.org/doc/167292082/ 42, Ministry of Environment and Forests 2 , Amit Maru Vs., Tamil Nadu Pollution Control Board vs. Sterlite Industries (India) Ltd5, Meenava Thanthai K. R. Selvaraja Kumar Meenavar Nala Sangam vs. Chairman and Ors., 6, Mantri Techzone Private Limited vs. Forward Foundation and Ors.7, Wilfred J. Ministry of Environment and Forests & Ors.16, A.B.C. Laminart Pvt. Ltd. & Anr vs A.P. Agencies, Salem13, Mantri Techzone (p) ltd. vs. Forward Foundation & Ors.15 106]"
Gurvinder_Singh_vs_State_Of_Haryana_on_31_October_2022.PDF,"['Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010']",['EIA'],"[AB Gurvinder Singh vs State Of Haryana on 31 October, 2022 Indian Kanoon]"
Haikar_Khan_vs_State_Of_Madhya_Pradesh_on_29_April_2022.PDF,"['Rule 58 of Uttar Pradesh Minor Minerals (Concession) Rules, 1963', 'Rule 60 of Uttar Pradesh Minor Minerals (Concession) Rules, 1963', 'Section 21 (5) of Mines and Minerals (Development and Regulation) Act, 1957', 'sub-section (5) of section 21 of Mines and Minerals (Development & Regulation) Act, 1957']",['EIA'],"[Haikar Khan vs State Of Madhya Pradesh on 29 April, 2022 Indian Kanoon - http://indiankanoon.org/doc/159294524/ 2 v. State of Karnataka & Ors.5, MC Mehta vs. UOI & Ors1, Deepak Kumar vs. State of Haryana2, State of NCT of Delhi vs. Sanjay3, Original Application No. 403/2019, NGT Bar Association v. Virender Singh (State of Gujarat), Common Cause vs. Union of India & Ors., (2017) 9 SCC 499]"
Himmat_Singh_Shekhawat_vs_State_Of_Rajasthan_on_26_February_2021.PDF,"['section 451 of Criminal Procedure Code', 'Section 451 of Criminal Procedure Code', 'sec 379 of Indian Penal Code', 'Section 3 of Environment (Protection) Act, 1986', 'Section 5 of Environment (Protection) Act, 1986', 'Section 15 of National Green Tribunal Act, 2010 (NGT Act)', 'Section 3(2)(v) of EP Act, 1986', 'rule-17 of Mining lease Approval Rules, 1963', 'Rule- 41(J)(1) of Pollution) Act, 1974', 'Rule-35(2) of Uttar Pradesh', '23 (C) of MMDR Act', 'Rule-17 of Integra Surveillance System (IMSS)', 'Rule 34(4) of Mining lease Approval Rules, 1963', 'Appendix- VI of Complied Mineral Regulations, 1963', 'O.A. 360 of Complied Mineral Regulations, 1963']","['EIA 2006', 'EIA Notification, 2006', 'Indian Penal Code', 'EIA']","[Atul The States of West Bengal, Gujarat, Karnataka, Maharashtra, Punjab, Uttar Pradesh, Haryana, Madhya Pradesh,, Deepak Kumar v. State of Haryana & Ors.: (2012) 4 SCC 629, Himachal Pradesh Chouhan v. State of U.P., Pawan Kumar v. State of Bihar & Ors, Gurpreet Singh Baggha vs. MOEF, Indian Council of Complied Bagga vs. MOEF, District Himmat Singh Shekhawat vs State Of Rajasthan, Atul Singh Chauhan vs. MOEF&CC and Ors]"
